material,r,V,p_int,q_int,recon,dissoc
carbon,0.9310752688172044,1.2876663294877558221402727908011436119271313744582748676900737205617890605399931E-18,0,0,0E-79,1
carbon,0.9325806451612904,1.2779846151881840860638190309056276525824680325140722881409367787676885852133420E-18,0,0,0E-79,1
carbon,0.9340860215053763,1.2683611495936358373641318089274719643052647610315903675423222754427945320892831E-18,0,0,0E-79,1
carbon,0.9355913978494623,1.2587956372551887956755469026953254410479770984296952899520070334589787967692738E-18,0,0,0E-79,1
carbon,0.9370967741935484,1.2492877841295900873350052927234716446581364863348029746152927850195251829351129E-18,0,0,0E-79,1
carbon,0.9386021505376344,1.2398372975727605592683180826822237878079754482523918952701464254714630748684127E-18,0,0,0E-79,1
carbon,0.9401075268817205,1.2304438863333154298191873052475312782293717093387900152636086838993115796914717E-18,0,0,0E-79,1
carbon,0.9416129032258065,1.2211072605461268642440332891296416658318029749938956923351622222792414437021562E-18,0,0,0E-79,1
carbon,0.9431182795698925,1.2118271317259101071762484447478712204661254048801077841295758752739615471890763E-18,0,0,0E-79,1
carbon,0.9446236559139786,1.2026032127608366951768436730168691706236371665281367485007109000222040641906218E-18,0,0,0E-79,1
carbon,0.9461290322580646,1.1934352179061848082949136900628415068796897400983367250286590777064467021856859E-18,0,0,0E-79,1
carbon,0.9476344086021505,1.1843228627780102022597939283180456246924391053257280555494687573526594220623963E-18,0,0,0E-79,1
carbon,0.9491397849462366,1.1752658643468481985142016504165737899490745214663497835610205829861738402806779E-18,0,0,0E-79,1
carbon,0.9506451612903226,1.1662639409314511424932996374256580478866123348468526996037867437691708820170454E-18,0,0,0E-79,1
carbon,0.9521505376344086,1.1573168121925423751185968209360361746177450691139275196881980553373847076932157E-18,0,0,0E-79,1
carbon,0.9536559139784946,1.1484241991266097225073961049246746600456413111140896015854667601625439256587553E-18,0,0,0E-79,1
carbon,0.9551612903225807,1.1395858240597237986553161827912039704631547004889337724480554984569972090788525E-18,0,0,0E-79,1
carbon,0.9566666666666667,1.1308014106413781773872683050307711505567664612342936999034874767689754232845265E-18,0,0,0E-79,1
carbon,0.9581720430107528,1.1220706838383672611409855234639336460810324865272660946570103087394456718079104E-18,0,0,0E-79,1
carbon,0.9596774193548387,1.1133933699286905536506728565159808718918087859507289231811313556875412523569110E-18,0,0,0E-79,1
carbon,0.9611827956989247,1.1047691964954752615290796413830220733664817226889263212771532759722474504232611E-18,0,0,0E-79,1
carbon,0.9626881720430107,1.0961978924209382099505705156359961934865169109730341142009440509989009290443752E-18,0,0,0E-79,1
carbon,0.9641935483870968,1.0876791878803691933462959257968706131671356017922105161819565306872700863272415E-18,0,0,0E-79,1
carbon,0.9656989247311828,1.0792128143361481225892257944955834609219595856806243100833797182781227451747574E-18,0,0,0E-79,1
carbon,0.9672043010752689,1.0707985045317752205991089330942368739982756563797090654520004942561322661611118E-18,0,0,0E-79,1
carbon,0.9687096774193549,1.0624359924859477552029061108318851052561581107911532775265120172979815901878720E-18,0,0,0E-79,1
carbon,0.9702150537634409,1.0541250134866469154291410024874797513035879287550894110950671302475500423208308E-18,0,0,0E-79,1
carbon,0.9717204301075268,1.0458653040852626912095187063624862863550867914286347567870532471579093411958043E-18,0,0,0E-79,1
carbon,0.9732258064516129,1.0376566020907388344381801351116297720015431854502185365723666678292654188973158E-18,0,0,0E-79,1
carbon,0.9747311827956989,1.0294986465637515405207192009520715354385040976690820491548922214166246090866863E-18,0,0,0E-79,1
carbon,0.976236559139785,1.0213911778109081707031887403001984961905805735434188024525683786906369156339680E-18,0,0,0E-79,1
carbon,0.977741935483871,1.0133339373789726562636201975222379225822014827830095422744652019724626961393045E-18,0,0,0E-79,1
carbon,0.979247311827957,1.0053266680491250831946364244041497960602302494171524479610469948563606806161734E-18,0,0,0E-79,1
carbon,0.980752688172043,9.9736911383123720645305763858871422327896566801603621101676142156464638996581674E-19,0,0,0E-79,1
carbon,0.9822580645161291,9.8946101995817918323364794676538799468380410291173599203616090833453052664946344E-19,0,0,0E-79,1
carbon,0.983763440860215,9.8160213288015636444144034564049559014293116589323959940119367120206602410934015E-19,0,0,0E-79,1
carbon,0.9852688172043012,9.7379220025905971108226447384716208460062630618418158661572035390285364236487890E-19,0,0,0E-79,1
carbon,0.9867741935483871,9.6603097096286144035581713728192563868268001095344705958018822529149916449312619E-19,0,0,0E-79,1
carbon,0.9882795698924731,9.5831819506001208302196264279920896435506100657799968129605791545795751210571172E-19,0,0,0E-79,1
carbon,0.9897849462365591,9.5065362381388457508165073215206693375264114550520735420339128705453905730360245E-19,0,0,0E-79,1
carbon,0.9912903225806452,9.4303700967723056589959660492896217191708418319999547802001227218076516697029181E-19,0,0,0E-79,1
carbon,0.9927956989247312,9.3546810628667022379637243746640687953630628852986159692487825541958936210584357E-19,0,0,0E-79,1
carbon,0.9943010752688173,9.2794666845719732896203087584669475576987343616989782882457898576253139589517001E-19,0,0,0E-79,1
