material,Z,r,V,p_int,q_int,recon,dissoc
carbon,6,0.8061290322580645,2.3267274075692843387858911534149588883813031689388001411744065206030571348978843E-18,0,0,0E-79,1
carbon,6,0.8076344086021505,2.3110272971309771271188180024793862603903835897187340088598302643552829253024508E-18,0,0,0E-79,1
carbon,6,0.8091397849462366,2.2954155683380923954899816844054510223895560948457688979174491797978448609595686E-18,0,0,0E-79,1
carbon,6,0.8106451612903226,2.2798917831653279038754484855118637984792319944112865841069614427091203499655147E-18,0,0,0E-79,1
carbon,6,0.8121505376344086,2.2644555056508266631109115834602444151245137422660133706943959000296775674033733E-18,0,0,0E-79,1
carbon,6,0.8136559139784947,2.2491063018866798970991197006087489516014336498331616075648580499736670690637119E-18,0,0,0E-79,1
carbon,6,0.8151612903225807,2.2338437400094731641518889874375477976578802510104703208757934330472327004861424E-18,0,0,0E-79,1
carbon,6,0.8166666666666667,2.2186673901908663956983886743967150143912017649901576265508941103964202874318413E-18,0,0,0E-79,1
carbon,6,0.8181720430107527,2.2035768246282270096649635286008252836717036898833904200542316293633363089479753E-18,0,0,0E-79,1
carbon,6,0.8196774193548387,2.1885716175353005955886892427516659881367408610275779661563217831616362397908052E-18,0,0,0E-79,1
carbon,6,0.8211827956989247,2.1736513451329251074142493789809726402142392895882845708148507432713089605940548E-18,0,0,0E-79,1
carbon,6,0.8226881720430108,2.1588155856397863662843081194566634392695534834243697453825616920736066903562887E-18,0,0,0E-79,1
carbon,6,0.8241935483870968,2.1440639192632205836323745724777910648501057682989468006295632515697608325685318E-18,0,0,0E-79,1
carbon,6,0.8256989247311828,2.1293959281900489451591501144959394524094799265778035068635371106286970967102658E-18,0,0,0E-79,1
carbon,6,0.8272043010752689,2.1148111965774628099915234740880678156795609399627496442134483554107473924467020E-18,0,0,0E-79,1
carbon,6,0.8287096774193549,2.1003093105439503413339433747369440895736188255495895198992488194773941076872334E-18,0,0,0E-79,1
carbon,6,0.8302150537634408,2.0858898581602567411199263775460927798336398173428856388779192787792023417624869E-18,0,0,0E-79,1
carbon,6,0.8317204301075269,2.0715524294403896038406646000783233920695602238816400710495728313456662525622623E-18,0,0,0E-79,1
carbon,6,0.8332258064516129,2.0572966163326747145685188086044891002273693625409852822158458877336452281873104E-18,0,0,0E-79,1
carbon,6,0.8347311827956989,2.0431220127108344999280507518573726952541165832493455233639928201931637460783725E-18,0,0,0E-79,1
carbon,6,0.836236559139785,2.0290282143651204718002364653808511944442280541844013665432036769995865410306670E-18,0,0,0E-79,1
carbon,6,0.837741935483871,2.0150148189934850286579268420199106733503956332742771835067847959486283641892228E-18,0,0,0E-79,1
carbon,6,0.839247311827957,2.0010814261927850873670604617249842034245642007476236227206866447808365053714721E-18,0,0,0E-79,1
carbon,6,0.8407526881720431,1.9872276374500342148913421100977016174141123226327866210017855764647569975675206E-18,0,0,0E-79,1
carbon,6,0.8422580645161291,1.9734530561336945328325650415247805870735724770094119802681974452322452826556616E-18,0,0,0E-79,1
carbon,6,0.843763440860215,1.9597572874850009583830884590811730541804607702890613682362219407317114308740125E-18,0,0,0E-79,1
carbon,6,0.8452688172043011,1.9461399386093287183266700554211701056507779595534544670323440558634455134544967E-18,0,0,0E-79,1
carbon,6,0.8467741935483871,1.9326006184676091904653839525299941186749921583570819491241282066611473304043014E-18,0,0,0E-79,1
carbon,6,0.8482795698924731,1.9191389378677676751896164753081932568587621590587605067088614344255824076136706E-18,0,0,0E-79,1
carbon,6,0.8497849462365592,1.9057545094562128616689349307698838472726947732379838366697836814143370254801761E-18,0,0,0E-79,1
carbon,6,0.8512903225806452,1.8924469477093640856658412323836135829292388158676485743117521734617484141893029E-18,0,0,0E-79,1
carbon,6,0.8527956989247312,1.8792158689252092296907085098688769101258481565191860490904255949343525575515231E-18,0,0,0E-79,1
carbon,6,0.8543010752688173,1.8660608912149090940300091369915532972271508601164448285462653352710209650919847E-18,0,0,0E-79,1
carbon,6,0.8558064516129033,1.8529816344944399481877354630652554404085908307017882338394529213557732216829646E-18,0,0,0E-79,1
carbon,6,0.8573118279569892,1.8399777204762672002136475026866159762306552874162186655145003908870384861795739E-18,0,0,0E-79,1
carbon,6,0.8588172043010753,1.8270487726610605674690481512255358245941543808853062602646026650857518579672705E-18,0,0,0E-79,1
carbon,6,0.8603225806451613,1.8141944163294555445251604067107694930069248337099274202985077889374644258899276E-18,0,0,0E-79,1
carbon,6,0.8618279569892473,1.8014142785338361035791528108620426253632417851208751773179941780663503563914257E-18,0,0,0E-79,1
