file,lines,size,readmem_count,max_reg_index,has_real,has_float,fp_string_count
"hardware/boards/icesugar/smoke/spu_smoke_flash.v",249,8952,0,23,0,0,0
"hardware/boards/icesugar/smoke/build/ref.v",16,362,0,31,0,0,0
"hardware/boards/icesugar/smoke/spu_smoke_gpio.v",22,667,0,23,0,0,0
"hardware/boards/icesugar/spu_icesugar_top.v",148,4551,0,0,0,0,0
"hardware/boards/tang_primer_25k/spu_tang_top.v",414,16975,0,0,1,0,0
"hardware/boards/tang_primer_25k/pll_gowin_stub.v",71,2470,0,0,0,0,0
"hardware/boards/tang_nano_9k/tang_nano_9k_top.v",243,8971,0,0,0,0,0
"hardware/boards/tang_primer_20k/pll_gowin_gw2a_stub.v",20,622,0,0,0,0,0
"hardware/boards/tang_primer_20k/spu_tang_20k_top.v",249,9408,0,19,0,0,0
"hardware/boards/gw1n1/spu_gw1n1_top.v",103,3282,1,15,0,0,0
"hardware/boards/gowin_mega/spu_mega_top.v",42,1415,0,19,0,0,0
"hardware/vendor/gowin/gowin_bsram.v",76,2742,0,0,0,0,0
"hardware/vendor/gowin/spu_surd_mul_gowin.v",101,4098,0,1,0,0,0
"hardware/vendor/gowin/spu_alu_gowin.v",196,8590,0,0,0,0,0
"hardware/vendor/ice40/SB_HFOSC.v",28,830,0,0,1,0,0
