instance,row,col,x,y
u_spu26/node_47,10,48,0.31481481481481477,0.09259259259259259
u_spu26/node_48,12,39,0.24074074074074073,0.12962962962962962
u_spu26/node_49,14,39,0.24074074074074073,0.16666666666666666
u_spu26/node_50,17,39,0.24074074074074073,0.2037037037037037
u_spu26/node_51,12,43,0.2777777777777778,0.12962962962962962
u_spu26/node_52,17,43,0.2777777777777778,0.2037037037037037
u_spu26/node_53,12,48,0.31481481481481477,0.12962962962962962
u_spu26/node_54,14,48,0.31481481481481477,0.16666666666666666
u_spu26/node_55,17,48,0.31481481481481477,0.2037037037037037
u_spu26/node_56,19,39,0.24074074074074073,0.24074074074074073
u_spu26/node_57,22,39,0.24074074074074073,0.2777777777777778
u_spu26/node_58,24,39,0.24074074074074073,0.31481481481481477
u_spu26/node_59,19,43,0.2777777777777778,0.24074074074074073
u_spu26/node_60,24,43,0.2777777777777778,0.31481481481481477
u_spu26/node_61,19,48,0.31481481481481477,0.24074074074074073
u_spu26/node_62,22,48,0.31481481481481477,0.2777777777777778
u_spu26/node_63,24,48,0.31481481481481477,0.31481481481481477
u_spu26/node_64,26,10,0.018518518518518517,0.35185185185185186
u_spu26/node_65,28,10,0.018518518518518517,0.38888888888888884
u_spu26/node_66,31,10,0.018518518518518517,0.42592592592592593
u_spu26/node_67,26,15,0.05555555555555555,0.35185185185185186
u_spu26/node_68,31,15,0.05555555555555555,0.42592592592592593
u_spu26/node_69,26,20,0.09259259259259259,0.35185185185185186
u_spu26/node_70,28,20,0.09259259259259259,0.38888888888888884
u_spu26/node_71,31,20,0.09259259259259259,0.42592592592592593
u_spu26/node_72,33,10,0.018518518518518517,0.4629629629629629
u_spu26/node_73,36,10,0.018518518518518517,0.5
u_spu26/node_74,38,10,0.018518518518518517,0.537037037037037
u_spu26/node_75,33,15,0.05555555555555555,0.4629629629629629
u_spu26/node_76,38,15,0.05555555555555555,0.537037037037037
u_spu26/node_77,33,20,0.09259259259259259,0.4629629629629629
u_spu26/node_78,36,20,0.09259259259259259,0.5
u_spu26/node_79,38,20,0.09259259259259259,0.537037037037037
u_spu26/node_80,40,10,0.018518518518518517,0.5740740740740741
u_spu26/node_81,42,10,0.018518518518518517,0.611111111111111
u_spu26/node_82,45,10,0.018518518518518517,0.6481481481481481
u_spu26/node_83,40,15,0.05555555555555555,0.5740740740740741
u_spu26/node_84,45,15,0.05555555555555555,0.6481481481481481
u_spu26/node_85,40,20,0.09259259259259259,0.5740740740740741
